protein_id,log2FC_2019,padj_2019,neg_log10padj_2019,DAP_2019,log2FC_2022,padj_2022,neg_log10padj_2022,DAP_2022,mean_log2FC,fisher_combined_padj,neg_log10padj,DAP
Td00001aa022327_T001,0.36513259345253,0.039983763232986,1.39811633291911,NS,0.440369297894384,2.8152347502944e-4,3.55048538535729,NS,0.40275094567345704,6.087133690523547e-4,3.215587159817706,NS
Td00001aa022358_T001,-1.09850554495243,0.0578725402621804,1.23752745425932,NS,-0.644594737880182,0.00310316085891701,2.50819571125782,NS,-0.8715501414163059,0.005547831781153034,2.255876715880038,NS
Td00001aa022398_T001,0.0285691521967709,0.894055425189586,0.0486355571460644,NS,-0.0768447513109687,0.440014348312548,0.356533161487985,NS,-0.0241377995570989,0.8594400861594407,0.06578439373817799,NS
Td00001aa022414_T003,-0.461958546666336,0.0572269077568568,1.24239972046267,NS,-0.451651721044164,2.32585933508796e-5,4.63341655437214,NS,-0.45680513385525,1.0862432490489168e-4,3.96407290965482,NS
Td00001aa022445_T002,0.134878054343112,0.946100688692753,0.0240626413818575,NS,0.461238327292473,0.0125566587778026,1.90112590736677,NS,0.2980581908177925,0.1246261302773476,0.904390889896022,NS
Td00001aa022450_T001,0.324234562270531,0.0593744943391762,1.22640007600524,NS,-0.0707507023920771,0.893121491443801,0.0490894599526684,NS,0.12674192993922695,0.32089660364144224,0.4936348794379517,NS
Td00001aa022462_T001,0.181420640280142,0.85007990364085,0.0705402506629392,NS,-0.402388966465542,0.16200269442497,0.790477762221782,NS,-0.11048416309270001,0.5422464883682169,0.2658032518305864,NS
Td00001aa022473_T002,0.130930869826449,0.273071256936372,0.563724010628746,NS,-0.37580979581809,0.0194609010610113,1.71083705529246,NS,-0.1224394629958205,0.07089385968905985,1.1493913786200416,NS
Td00001aa022477_T002,0.37851162325373,0.0368821925688204,1.43318326895692,NS,0.461465891100985,8.7459667095979e-4,3.05819218007434,NS,0.4199887571773575,0.0014231528089479143,2.846748465678285,NS
Td00001aa022503_T002,0.321928094887362,0.105532825082567,0.976612435769778,NS,0.182994275375511,0.0043503916581327,2.36147164251458,NS,0.2524611851314365,0.011508966880025957,1.9389636597274118,NS
Td00001aa022519_T001,0.293958979028694,0.0984888238679026,1.0066130487702,NS,0.281912007468988,0.32714867280541,0.485254837231601,NS,0.287935493248841,0.23923279804390415,0.6211792802311338,NS
Td00001aa022538_T001,0.32883646422954,0.101776124551103,0.992354090288378,NS,-0.0832217880808325,0.924186053777405,0.0342405893914483,NS,0.12280733807435375,0.4456082044065622,0.35104682165906853,NS
Td00001aa022561_T001,-0.318325858207167,0.00731530544396694,2.13576753558653,NS,-0.511726103555205,3.0063694672898e-8,7.52195764791907,NS,-0.41502598088118603,7.630924920340336e-8,7.117422819390418,NS
Td00001aa022576_T001,0.00288250853312136,0.786770611562832,0.104151870758884,NS,-0.716486623352861,1.9116797223930502e-9,8.71858486647859,NS,-0.3568020574098698,3.9726784382393036e-7,6.400916586756889,NS
Td00001aa022584_T001,-0.212567535483132,0.294514668496548,0.530893070016221,NS,-0.250250532134352,0.0413598571915175,1.38342096945577,NS,-0.231409033808742,0.12678979698949738,0.8969156935319295,NS
Td00001aa022594_T002,5.00162211964968,0.0227805906612853,1.64243501960673,Up,5.15286983726258,5.0365023261006105e-24,23.2978709611349,Up,5.07724597845613,5.371828380269679e-21,20.269877870666846,Up
Td00001aa022597_T001,0.830255324167683,0.10305109606958,0.986947384627718,NS,-0.0742852254180147,0.969361077503532,0.0135144223735247,NS,0.3779850493748341,0.46044865067680124,0.3368187953719297,NS
Td00001aa022605_T003,-0.305788392232109,0.292910074350265,0.53326569093538,NS,-0.0781273895454054,0.866425060809493,0.0622689945015377,NS,-0.1919578908887572,0.723187279056649,0.14074922175295185,NS
Td00001aa022606_T004,-0.0424567992428948,0.485456695696615,0.313849504497052,NS,-0.171138785549936,0.285580530209099,0.544271404427312,NS,-0.1067977923964154,0.5437590902644275,0.26459346968111186,NS
Td00001aa022611_T002,-0.614845103115656,0.196352943777571,0.706962583281918,NS,-0.066407733454635,0.995257158258177,0.00206469012583237,NS,-0.3406264182851455,0.6414817664507279,0.19281568354840542,NS
Td00001aa022620_T003,0.018634174139051,0.632429833414232,0.198987651419183,NS,0.247061588571304,0.0373080558895614,1.42819738131119,NS,0.1328478813551775,0.1982642323514378,0.7027556271637675,NS
Td00001aa022622_T001,-0.0831412353002459,0.959520161402759,0.0179458954527674,NS,-0.191645463770775,1.62002101676756e-5,4.79047935125553,NS,-0.13739334953551044,7.942060863451536e-4,3.1000667890727063,NS
Td00001aa022629_T001,0.505890929729957,0.174642871989556,0.757849135298457,NS,-0.0736033391857435,0.999999001715887,4.33549497971651e-7,NS,0.21614379527210673,0.6113414138506191,0.21371618298073844,NS
Td00001aa022637_T001,0.162210036314307,0.640593332950585,0.19341758561887,NS,-0.397191544242613,0.021217910649029,1.67329738378397,NS,-0.117490753964153,0.13718108397588014,0.862705769760931,NS
Td00001aa022640_T001,1.04054179386285,0.0105489079759761,1.97679249624824,Up,1.56926249141752,1.11636571810531e-8,7.95219350850219,Up,1.304902142640185,4.595619517527964e-8,7.3376559347875485,Up
