orthogroup,log2FC,padj,species,DAP,rank
OG0003111,0.18523225423016085,1,Ag,NS,505
OG0003112,0.01006368334469748,1,Ag,NS,812
OG0003113,-0.1877071551267289,0.896099074807797,Ag,NS,1235
OG0003122,-0.02473667832150644,1,Ag,NS,885
OG0003137,-0.06491747668133854,1,Ag,NS,962
OG0003143,0.05935527761642124,1,Ag,NS,730
OG0003161,-0.6688680777827979,0.720444520967965,Ag,NS,1969
OG0003168,0.7476022302749431,0.054481163605303,Ag,NS,152
OG0003245,-0.22095044716254147,1,Ag,NS,1289
OG0003276,0.10299399332332564,1,Ag,NS,653
OG0003277,-0.5585165204173551,0.363856641374732,Ag,NS,1877
OG0003283,-0.7969951096031058,0.0158829251287945,Ag,NS,2055
OG0003285,0.1928254035523912,1,Ag,NS,495
OG0003287,-0.10927229981059511,0.628976326213576,Ag,NS,1053
OG0003294,0.1016500760944348,1,Ag,NS,655
OG0003296,-0.2863041851566411,0.681601022199166,Ag,NS,1419
OG0003301,0.14795788138710142,1,Ag,NS,566
OG0003319,0.08133962745193878,1,Ag,NS,689
OG0003325,-0.01304303747559888,1,Ag,NS,858
OG0003359,0.4781952579391659,0.469771274033523,Ag,NS,255
OG0003364,1.7957669477823923,1,Ag,NS,30
OG0003369,-0.6803820657998387,0.0940093326188695,Ag,NS,1976
OG0003382,0.32497147733960274,1,Ag,NS,350
OG0003395,-0.4500844463780446,0.401842584842181,Ag,NS,1755
OG0003398,-0.3695945285176767,1,Ag,NS,1599
OG0003400,-0.888968687611256,0.0257579747305089,Ag,NS,2093
OG0003417,0.21163525332714944,1,Ag,NS,472
OG0003421,0.1348780543431117,1,Ag,NS,591
OG0003436,-0.24908936728954478,1,Ag,NS,1346
OG0003440,-0.1877071551267289,0.873293472048329,Ag,NS,1235
OG0003442,-1.0274029193868848,0.0285377160833073,Ag,DOWN,2140
OG0003463,0.15704371014558002,0.163282673645782,Ag,NS,554
OG0003472,0.6069159418252051,0.777868662485813,Ag,NS,195
OG0003478,1.291118058984007,0.0212811363118334,Ag,UP,68
OG0003484,-0.42130478357654755,0.863985968220939,Ag,NS,1710
OG0003486,-0.3566055465201077,1,Ag,NS,1574
OG0003495,-0.4659383975788817,0.483953154371431,Ag,NS,1771
OG0003509,-0.19099722506091363,0.953137052776019,Ag,NS,1239
OG0003530,1.4227712193204742,0.538849626446839,Ag,NS,60
