protein_id,log2FC_2022,padj_2022,DAP_2022,log2FC_2019,padj_2019,DAP_2019
Td00001aa024953_T003,-0.5679463688449522,0.001662643688697,NS,-0.0424567992428948,0.703236254858439,NS
Td00001aa024956_T001,-0.16187766847657942,0.11174112373194903,NS,-0.204233052217608,0.34438227100807,NS
Td00001aa024970_T001,-0.2753660239252657,0.0032192906688216826,NS,-0.150400988848548,0.1981675772026,NS
Td00001aa024975_T002,0.2930905490727885,0.001442295958976735,NS,0.427606172781899,0.254672995820283,NS
Td00001aa024999_T001,-0.3489318365422488,0.009489825868795307,NS,-1.19099722506091,0.00220596639930823,Down
Td00001aa025002_T003,0.02342146808154656,0.0018399231843398837,NS,0.12565110166152,0.918114569683469,NS
Td00001aa025005_T004,-0.35146901439038625,0.01916755518963797,NS,-0.192645077942396,0.171140625897946,NS
Td00001aa025008_T004,1.3695226648390875,2.511028305827815e-4,Up,0.244887059123534,0.258479349112692,NS
Td00001aa025021_T003,-0.7381800093740015,5.9219689260247615e-5,NS,-1.31114825613412,0.0417555509977077,Down
Td00001aa025037_T001,-0.30193246975455146,0.07822953625613487,NS,-0.123433941248279,0.947799653886862,NS
Td00001aa025038_T001,-0.32703242520091336,0.015126598496934067,NS,-0.239566125329888,0.578396949060379,NS
Td00001aa025105_T002,-0.22956771971917608,0.14223846954224847,NS,0.0482361856528476,0.631394740762892,NS
Td00001aa025134_T001,0.42534509096147954,0.009407239030317463,NS,0.456280481510725,0.0111661616807946,NS
Td00001aa025144_T001,-0.019807834311409468,0.7989745905196531,NS,-0.15521264992094,0.351807321801033,NS
Td00001aa025171_T003,-1.359571848431379,3.0381853989842925e-5,Down,-1.15521264992094,0.00994121675165762,Down
Td00001aa025176_T003,0.03771821998449815,0.013356512562398393,NS,0.542010355536609,0.0388729031473467,NS
Td00001aa025196_T001,-0.2219233510006342,0.14462947591732353,NS,-0.22431729826094,0.21634773699609,NS
Td00001aa025199_T002,-0.04082553577139341,0.19231793963398972,NS,0.360645202460216,0.579310331229972,NS
Td00001aa025298_T001,0.135246941439386,0.5907315911188452,NS,-0.036525876025114,0.29971925292138,NS
Td00001aa025313_T003,0.22240172001757086,1.525514529127771e-4,NS,0.37851162325373,0.324160132882952,NS
Td00001aa025335_T003,-0.27979313116271837,9.418113447015581e-4,NS,-0.0923401721467106,0.38338136571354,NS
Td00001aa025357_T001,-0.5668021637208053,0.008133100454765424,NS,-0.207561069935362,0.267827695391736,NS
